numBranches, numEndPoints, numJunctionVoxels, numJunctions, numSlabs, numTriples, numQuadruples, averageBranchLength, maximumBranchLength, shortestPath, numVoxels, width, height, depth, class
3, 3, 3, 1, 7, 1, 0, 5.0403185, 7.9746914, 13.706742, 646, 13, 11, 15, 2
1, 2, 0, 0, 4, 0, 0, 5.8284273, 5.8284273, 5.8284273, 618, 9, 8, 16, 1
1, 2, 0, 0, 5, 0, 0, 6.4142137, 6.4142137, 6.4142137, 664, 9, 8, 18, 1
1, 2, 0, 0, 5, 0, 0, 6.8284273, 6.8284273, 6.8284273, 1300, 11, 11, 22, 1
1, 2, 0, 0, 6, 0, 0, 7, 7, 7, 515, 7, 9, 15, 1
1, 2, 0, 0, 6, 0, 0, 7.4142137, 7.4142137, 7.4142137, 553, 8, 8, 17, 1
1, 2, 0, 0, 1, 0, 0, 2, 2, 2, 240, 8, 6, 11, 1
1, 2, 0, 0, 2, 0, 0, 3.4142137, 3.4142137, 3.4142137, 799, 10, 12, 15, 2
1, 2, 0, 0, 2, 0, 0, 3, 3, 3, 280, 5, 6, 15, 1
1, 2, 0, 0, 1, 0, 0, 2.7320509, 2.7320509, 2.7320509, 1973, 15, 16, 23, 2
1, 2, 0, 0, 2, 0, 0, 3, 3, 3, 327, 7, 7, 12, 1
1, 2, 0, 0, 7, 0, 0, 11.120955, 11.120955, 11.120955, 849, 15, 11, 14, 2
2, 1, 1, 1, 27, 1, 0, 19.206377, 34.948654, 6.9282031, 914, 17, 12, 19, 3
1, 2, 0, 0, 2, 0, 0, 3, 3, 3, 486, 8, 9, 13, 1
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1784, 16, 14, 20, 1
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 324, 6, 7, 12, 1
1, 2, 0, 0, 19, 0, 0, 25.413485, 25.413485, 25.413485, 790, 14, 8, 20, 2
3, 2, 3, 1, 29, 0, 1, 13.909064, 27.095648, 14.631546, 1387, 12, 14, 23, 3
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 734, 10, 10, 14, 1
1, 2, 0, 0, 1, 0, 0, 2.4142137, 2.4142137, 2.4142137, 797, 11, 7, 18, 1
1, 2, 0, 0, 8, 0, 0, 12.853006, 12.853006, 12.853006, 1065, 13, 12, 18, 2
1, 2, 0, 0, 6, 0, 0, 9.2925291, 9.2925291, 9.2925291, 197, 11, 7, 5, 2
1, 2, 0, 0, 2, 0, 0, 3.7320509, 3.7320509, 3.7320509, 61, 6, 4, 5, 1
18, 5, 19, 10, 124, 9, 1, 10.726387, 27.884153, 72.929184, 4656, 33, 25, 32, 3
1, 2, 0, 0, 1, 0, 0, 2, 2, 2, 68, 4, 5, 5, 1
1, 2, 0, 0, 6, 0, 0, 7.8284273, 7.8284273, 7.8284273, 98, 9, 5, 6, 2
1, 2, 0, 0, 6, 0, 0, 9.3889055, 9.3889055, 9.3889055, 186, 6, 5, 12, 1
1, 2, 0, 0, 26, 0, 0, 34.484554, 34.484554, 34.484554, 1160, 10, 9, 30, 1
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 50, 5, 5, 5, 1
1, 2, 0, 0, 7, 0, 0, 9.6568546, 9.6568546, 9.6568546, 241, 12, 7, 7, 2
1, 2, 0, 0, 1, 0, 0, 2, 2, 2, 72, 5, 5, 5, 1
1, 2, 0, 0, 4, 0, 0, 6.2426405, 6.2426405, 6.2426405, 176, 11, 6, 6, 2
1, 2, 0, 0, 0, 0, 0, 1.4142135, 1.4142135, 1.4142135, 122, 7, 5, 7, 1
1, 2, 0, 0, 10, 0, 0, 13.071068, 13.071068, 13.071068, 442, 19, 8, 6, 2
3, 3, 1, 1, 33, 1, 0, 15.332848, 19.53517, 35.291801, 1421, 21, 12, 25, 3
1, 2, 0, 0, 4, 0, 0, 6.6568542, 6.6568542, 6.6568542, 243, 12, 13, 5, 2
1, 2, 0, 0, 22, 0, 0, 27.363596, 27.363596, 27.363596, 1376, 10, 14, 32, 2
